decision_window_id,timestamp_ms,proposals_received,xapps_involved,conflict_detected,conflict_type,resolution_tier,arbitration_rule,decision_latency_ms,e2sm_rc_action,status
13,2600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.5,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
14,2800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.91,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
15,3000,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.4,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
16,3200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.41,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
17,3400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.31,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
18,3600,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.5,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
19,3800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.27,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
20,4000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.33,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
21,4200,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.95,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
22,4400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.52,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
23,4600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.42,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
24,4800,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.6,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
25,5000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.44,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
26,5200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.27,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
27,5400,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.43,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
28,5600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.92,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
29,5800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.47,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
30,6000,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.07,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
31,6200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.03,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
32,6400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.24,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
33,6600,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.77,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
34,6800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.42,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
35,7000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.14,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
36,7200,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.04,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
37,7400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.66,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
38,7600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,17.3,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
39,7800,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.9,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
40,8000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.77,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
41,8200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.1,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
42,8400,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.35,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
43,8600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.36,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
44,8800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.84,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
45,9000,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.48,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
46,9200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.7,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
47,9400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.76,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
48,9600,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.73,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
49,9800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.79,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
50,10000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.16,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
51,10200,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.12,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
52,10400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.05,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
53,10600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.24,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
54,10800,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.92,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
55,11000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.33,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
56,11200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.78,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
57,11400,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.45,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
58,11600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.39,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
59,11800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.0,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
60,12000,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.65,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
61,12200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.29,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
62,12400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.87,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
63,12600,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.95,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
64,12800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.4,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
65,13000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.69,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
66,13200,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.54,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
67,13400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,10.66,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
68,13600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.98,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
69,13800,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.81,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
70,14000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.97,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
71,14200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.93,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
72,14400,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.85,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
73,14600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.0,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
74,14800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.96,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
75,15000,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,11.89,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
76,15200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.33,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
77,15400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.89,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
78,15600,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.93,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
79,15800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.97,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
80,16000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.77,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
81,16200,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.12,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
82,16400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.31,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
83,16600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.87,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
84,16800,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.12,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
85,17000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.5,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
86,17200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.43,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
87,17400,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.33,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
88,17600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.96,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
89,17800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.29,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
90,18000,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.13,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
91,18200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.08,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
92,18400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,11.1,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
93,18600,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.03,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
94,18800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.13,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
95,19000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.77,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
96,19200,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.29,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
97,19400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.02,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
98,19600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.3,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
99,19800,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.93,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
100,20000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.64,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
101,20200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.72,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
102,20400,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.85,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
103,20600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.5,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
104,20800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.84,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
105,21000,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.3,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
106,21200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.97,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
107,21400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.99,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
108,21600,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.46,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
109,21800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.14,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
110,22000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.67,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
111,22200,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.54,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
112,22400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.6,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
113,22600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.53,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
114,22800,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.92,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
115,23000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.25,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
116,23200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.18,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
117,23400,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.67,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
118,23600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.8,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
119,23800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.0,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
120,24000,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.79,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
121,24200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.16,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
122,24400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.97,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
123,24600,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.99,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
